"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","INDUSTRY_NAME","EMPLOYMENT_STATUS_NAME","MEASURE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2017","Torfaen","W06000020","58 : Publishing activities","Employees","Industry percentage","Value",0.1,"Normal Value"
"2017","Torfaen","W06000020","58 : Publishing activities","Full-time employees","Count","Value",45,"Normal Value"
"2017","Torfaen","W06000020","58 : Publishing activities","Full-time employees","Industry percentage","Value",0.2,"Normal Value"
"2017","Torfaen","W06000020","58 : Publishing activities","Part-time employees","Count","Value",5,"Normal Value"
"2017","Torfaen","W06000020","58 : Publishing activities","Part-time employees","Industry percentage","Value",0.0,"Normal Value"
"2017","Torfaen","W06000020","59 : Motion picture, video and television programme production, sound recording and music publishing activities","Employees","Count","Value",40,"Normal Value"
"2017","Torfaen","W06000020","59 : Motion picture, video and television programme production, sound recording and music publishing activities","Employees","Industry percentage","Value",0.1,"Normal Value"
"2017","Torfaen","W06000020","59 : Motion picture, video and television programme production, sound recording and music publishing activities","Full-time employees","Count","Value",10,"Normal Value"
"2017","Torfaen","W06000020","59 : Motion picture, video and television programme production, sound recording and music publishing activities","Full-time employees","Industry percentage","Value",0.0,"Normal Value"
"2017","Torfaen","W06000020","59 : Motion picture, video and television programme production, sound recording and music publishing activities","Part-time employees","Count","Value",30,"Normal Value"
"2017","Torfaen","W06000020","59 : Motion picture, video and television programme production, sound recording and music publishing activities","Part-time employees","Industry percentage","Value",0.2,"Normal Value"
"2017","Torfaen","W06000020","60 : Programming and broadcasting activities","Employees","Count","Value",20,"Normal Value"
"2017","Torfaen","W06000020","60 : Programming and broadcasting activities","Employees","Industry percentage","Value",0.1,"Normal Value"
"2017","Torfaen","W06000020","60 : Programming and broadcasting activities","Full-time employees","Count","Value",20,"Normal Value"
"2017","Torfaen","W06000020","60 : Programming and broadcasting activities","Full-time employees","Industry percentage","Value",0.1,"Normal Value"
"2017","Torfaen","W06000020","60 : Programming and broadcasting activities","Part-time employees","Count","Value",0,"Normal Value"
"2017","Torfaen","W06000020","60 : Programming and broadcasting activities","Part-time employees","Industry percentage","Value",0.0,"Normal Value"
"2017","Torfaen","W06000020","61 : Telecommunications","Employees","Count","Value",100,"Normal Value"
"2017","Torfaen","W06000020","61 : Telecommunications","Employees","Industry percentage","Value",0.3,"Normal Value"
"2017","Torfaen","W06000020","61 : Telecommunications","Full-time employees","Count","Value",100,"Normal Value"
"2017","Torfaen","W06000020","61 : Telecommunications","Full-time employees","Industry percentage","Value",0.4,"Normal Value"
"2017","Torfaen","W06000020","61 : Telecommunications","Part-time employees","Count","Value",5,"Normal Value"
"2017","Torfaen","W06000020","61 : Telecommunications","Part-time employees","Industry percentage","Value",0.0,"Normal Value"
"2017","Torfaen","W06000020","62 : Computer programming, consultancy and related activities","Employees","Count","Value",2000,"Normal Value"
"2017","Torfaen","W06000020","62 : Computer programming, consultancy and related activities","Employees","Industry percentage","Value",5.6,"Normal Value"
"2017","Torfaen","W06000020","62 : Computer programming, consultancy and related activities","Full-time employees","Count","Value",1750,"Normal Value"
"2017","Torfaen","W06000020","62 : Computer programming, consultancy and related activities","Full-time employees","Industry percentage","Value",7.0,"Normal Value"
"2017","Torfaen","W06000020","62 : Computer programming, consultancy and related activities","Part-time employees","Count","Value",200,"Normal Value"
"2017","Torfaen","W06000020","62 : Computer programming, consultancy and related activities","Part-time employees","Industry percentage","Value",1.8,"Normal Value"
"2017","Torfaen","W06000020","63 : Information service activities","Employees","Count","Value",15,"Normal Value"
"2017","Torfaen","W06000020","63 : Information service activities","Employees","Industry percentage","Value",0.0,"Normal Value"
"2017","Torfaen","W06000020","63 : Information service activities","Full-time employees","Count","Value",10,"Normal Value"
"2017","Torfaen","W06000020","63 : Information service activities","Full-time employees","Industry percentage","Value",0.0,"Normal Value"
"2017","Torfaen","W06000020","63 : Information service activities","Part-time employees","Count","Value",0,"Normal Value"
"2017","Torfaen","W06000020","63 : Information service activities","Part-time employees","Industry percentage","Value",0.0,"Normal Value"
"2017","Torfaen","W06000020","64 : Financial service activities, except insurance and pension funding","Employees","Count","Value",300,"Normal Value"
"2017","Torfaen","W06000020","64 : Financial service activities, except insurance and pension funding","Employees","Industry percentage","Value",0.8,"Normal Value"
"2017","Torfaen","W06000020","64 : Financial service activities, except insurance and pension funding","Full-time employees","Count","Value",200,"Normal Value"
"2017","Torfaen","W06000020","64 : Financial service activities, except insurance and pension funding","Full-time employees","Industry percentage","Value",0.8,"Normal Value"
"2017","Torfaen","W06000020","64 : Financial service activities, except insurance and pension funding","Part-time employees","Count","Value",100,"Normal Value"
"2017","Torfaen","W06000020","64 : Financial service activities, except insurance and pension funding","Part-time employees","Industry percentage","Value",0.9,"Normal Value"
"2017","Torfaen","W06000020","65 : Insurance, reinsurance and pension funding, except compulsory social security","Employees","Count","Value",150,"Normal Value"
"2017","Torfaen","W06000020","65 : Insurance, reinsurance and pension funding, except compulsory social security","Employees","Industry percentage","Value",0.4,"Normal Value"
"2017","Torfaen","W06000020","65 : Insurance, reinsurance and pension funding, except compulsory social security","Full-time employees","Count","Value",150,"Normal Value"
"2017","Torfaen","W06000020","65 : Insurance, reinsurance and pension funding, except compulsory social security","Full-time employees","Industry percentage","Value",0.6,"Normal Value"
"2017","Torfaen","W06000020","65 : Insurance, reinsurance and pension funding, except compulsory social security","Part-time employees","Count","Value",20,"Normal Value"
"2017","Torfaen","W06000020","65 : Insurance, reinsurance and pension funding, except compulsory social security","Part-time employees","Industry percentage","Value",0.2,"Normal Value"
"2017","Torfaen","W06000020","66 : Activities auxiliary to financial services and insurance activities","Employees","Count","Value",75,"Normal Value"
"2017","Torfaen","W06000020","66 : Activities auxiliary to financial services and insurance activities","Employees","Industry percentage","Value",0.2,"Normal Value"
"2017","Torfaen","W06000020","66 : Activities auxiliary to financial services and insurance activities","Full-time employees","Count","Value",50,"Normal Value"
"2017","Torfaen","W06000020","66 : Activities auxiliary to financial services and insurance activities","Full-time employees","Industry percentage","Value",0.2,"Normal Value"
"2017","Torfaen","W06000020","66 : Activities auxiliary to financial services and insurance activities","Part-time employees","Count","Value",25,"Normal Value"
"2017","Torfaen","W06000020","66 : Activities auxiliary to financial services and insurance activities","Part-time employees","Industry percentage","Value",0.2,"Normal Value"
"2017","Torfaen","W06000020","68 : Real estate activities","Employees","Count","Value",900,"Normal Value"
"2017","Torfaen","W06000020","68 : Real estate activities","Employees","Industry percentage","Value",2.5,"Normal Value"
"2017","Torfaen","W06000020","68 : Real estate activities","Full-time employees","Count","Value",800,"Normal Value"
"2017","Torfaen","W06000020","68 : Real estate activities","Full-time employees","Industry percentage","Value",3.2,"Normal Value"
"2017","Torfaen","W06000020","68 : Real estate activities","Part-time employees","Count","Value",125,"Normal Value"
"2017","Torfaen","W06000020","68 : Real estate activities","Part-time employees","Industry percentage","Value",1.1,"Normal Value"
"2017","Torfaen","W06000020","69 : Legal and accounting activities","Employees","Count","Value",200,"Normal Value"
"2017","Torfaen","W06000020","69 : Legal and accounting activities","Employees","Industry percentage","Value",0.6,"Normal Value"
"2017","Torfaen","W06000020","69 : Legal and accounting activities","Full-time employees","Count","Value",125,"Normal Value"
"2017","Torfaen","W06000020","69 : Legal and accounting activities","Full-time employees","Industry percentage","Value",0.5,"Normal Value"
"2017","Torfaen","W06000020","69 : Legal and accounting activities","Part-time employees","Count","Value",75,"Normal Value"
"2017","Torfaen","W06000020","69 : Legal and accounting activities","Part-time employees","Industry percentage","Value",0.7,"Normal Value"
"2017","Torfaen","W06000020","70 : Activities of head offices; management consultancy activities","Employees","Count","Value",350,"Normal Value"
"2017","Torfaen","W06000020","70 : Activities of head offices; management consultancy activities","Employees","Industry percentage","Value",1.0,"Normal Value"
"2017","Torfaen","W06000020","70 : Activities of head offices; management consultancy activities","Full-time employees","Count","Value",300,"Normal Value"
"2017","Torfaen","W06000020","70 : Activities of head offices; management consultancy activities","Full-time employees","Industry percentage","Value",1.2,"Normal Value"
"2017","Torfaen","W06000020","70 : Activities of head offices; management consultancy activities","Part-time employees","Count","Value",35,"Normal Value"
"2017","Torfaen","W06000020","70 : Activities of head offices; management consultancy activities","Part-time employees","Industry percentage","Value",0.3,"Normal Value"
"2017","Torfaen","W06000020","71 : Architectural and engineering activities; technical testing and analysis","Employees","Count","Value",450,"Normal Value"
"2017","Torfaen","W06000020","71 : Architectural and engineering activities; technical testing and analysis","Employees","Industry percentage","Value",1.2,"Normal Value"
"2017","Torfaen","W06000020","71 : Architectural and engineering activities; technical testing and analysis","Full-time employees","Count","Value",400,"Normal Value"
"2017","Torfaen","W06000020","71 : Architectural and engineering activities; technical testing and analysis","Full-time employees","Industry percentage","Value",1.6,"Normal Value"
"2017","Torfaen","W06000020","71 : Architectural and engineering activities; technical testing and analysis","Part-time employees","Count","Value",75,"Normal Value"
